name: 075_profile_02.jpg, l_accuracy: 90.0
name: 075_profile_03.jpg, l_accuracy: 90.0
name: 075_profile_04.jpg, l_accuracy: 90.0
name: 076_profile_01.jpg, l_accuracy: 86.67
name: 076_profile_02.jpg, l_accuracy: 93.33
name: 076_profile_03.jpg, l_accuracy: 86.67
name: 076_profile_04.jpg, l_accuracy: 90.0
name: 077_profile_01.jpg, l_accuracy: 83.33
name: 077_profile_02.jpg, l_accuracy: 90.0
name: 077_profile_03.jpg, l_accuracy: 80.0
name: 077_profile_04.jpg, l_accuracy: 90.0
name: 078_profile_01.jpg, l_accuracy: 93.33
name: 078_profile_02.jpg, l_accuracy: 86.67
name: 078_profile_03.jpg, l_accuracy: 96.67
name: 078_profile_04.jpg, l_accuracy: 90.0
name: 079_profile_01.jpg, l_accuracy: 80.0
name: 079_profile_02.jpg, l_accuracy: 83.33
name: 079_profile_03.jpg, l_accuracy: 83.33
name: 079_profile_04.jpg, l_accuracy: 83.33
name: 080_profile_01.jpg, l_accuracy: 93.33
name: 080_profile_02.jpg, l_accuracy: 83.33
name: 080_profile_03.jpg, l_accuracy: 96.67
name: 080_profile_04.jpg, l_accuracy: 100.0
name: 081_profile_01.jpg, l_accuracy: 90.0
name: 081_profile_02.jpg, l_accuracy: 96.67
name: 081_profile_03.jpg, l_accuracy: 93.33
name: 081_profile_04.jpg, l_accuracy: 80.0
name: 082_profile_01.jpg, l_accuracy: 86.67
name: 082_profile_02.jpg, l_accuracy: 96.67
name: 082_profile_03.jpg, l_accuracy: 93.33
name: 082_profile_04.jpg, l_accuracy: 80.0
name: 083_profile_01.jpg, l_accuracy: 93.33
name: 083_profile_02.jpg, l_accuracy: 10.0
name: 083_profile_03.jpg, l_accuracy: 93.33
name: 083_profile_04.jpg, l_accuracy: 90.0
name: 084_profile_01.jpg, l_accuracy: 96.67
name: 084_profile_02.jpg, l_accuracy: 100.0
name: 084_profile_03.jpg, l_accuracy: 83.33
name: 084_profile_04.jpg, l_accuracy: 86.67
name: 085_profile_01.jpg, l_accuracy: 80.0
name: 085_profile_02.jpg, l_accuracy: 93.33
name: 085_profile_03.jpg, l_accuracy: 86.67
name: 085_profile_04.jpg, l_accuracy: 90.0
name: 086_profile_01.jpg, l_accuracy: 93.33
name: 086_profile_02.jpg, l_accuracy: 100.0
name: 086_profile_03.jpg, l_accuracy: 100.0
name: 086_profile_04.jpg, l_accuracy: 93.33
name: 087_profile_01.jpg, l_accuracy: 86.67
name: 087_profile_02.jpg, l_accuracy: 96.67
name: 087_profile_03.jpg, l_accuracy: 83.33
name: 087_profile_04.jpg, l_accuracy: 86.67
name: 088_profile_01.jpg, l_accuracy: 90.0
name: 088_profile_02.jpg, l_accuracy: 86.67
name: 088_profile_03.jpg, l_accuracy: 83.33
name: 088_profile_04.jpg, l_accuracy: 93.33
name: 089_profile_01.jpg, l_accuracy: 96.67
name: 089_profile_02.jpg, l_accuracy: 90.0
name: 089_profile_03.jpg, l_accuracy: 93.33
name: 089_profile_04.jpg, l_accuracy: 86.67
name: 090_profile_01.jpg, l_accuracy: 93.33
name: 090_profile_02.jpg, l_accuracy: 83.33
name: 090_profile_03.jpg, l_accuracy: 46.67
name: 090_profile_04.jpg, l_accuracy: 53.33
name: 091_profile_01.jpg, l_accuracy: 83.33
name: 091_profile_02.jpg, l_accuracy: 96.67
name: 091_profile_03.jpg, l_accuracy: 76.67
name: 091_profile_04.jpg, l_accuracy: 86.67
name: 092_profile_01.jpg, l_accuracy: 93.33
name: 092_profile_02.jpg, l_accuracy: 93.33
name: 092_profile_03.jpg, l_accuracy: 86.67
name: 092_profile_04.jpg, l_accuracy: 93.33
name: 093_profile_01.jpg, l_accuracy: 83.33
name: 093_profile_02.jpg, l_accuracy: 90.0
name: 093_profile_03.jpg, l_accuracy: 83.33
name: 093_profile_04.jpg, l_accuracy: 90.0
name: 094_profile_01.jpg, l_accuracy: 86.67
name: 094_profile_02.jpg, l_accuracy: 90.0
name: 094_profile_03.jpg, l_accuracy: 96.67
name: 094_profile_04.jpg, l_accuracy: 90.0
name: 095_profile_01.jpg, l_accuracy: 63.33
name: 095_profile_02.jpg, l_accuracy: 66.67
name: 095_profile_03.jpg, l_accuracy: 96.67
name: 095_profile_04.jpg, l_accuracy: 93.33
name: 096_profile_01.jpg, l_accuracy: 93.33
name: 096_profile_02.jpg, l_accuracy: 93.33
name: 096_profile_03.jpg, l_accuracy: 76.67
name: 096_profile_04.jpg, l_accuracy: 96.67
name: 097_profile_01.jpg, l_accuracy: 86.67
name: 097_profile_02.jpg, l_accuracy: 86.67
